feature,coefficient,abs_coefficient
cat__diag_2_197,0.4382746509148453,0.4382746509148453
cat__diag_2_198,0.7168955628697865,0.7168955628697865
cat__diag_2_199,0.6288702918326015,0.6288702918326015
cat__diag_2_200,-0.4094376808211258,0.4094376808211258
cat__diag_2_201,0.4309805609403382,0.4309805609403382
cat__diag_2_202,0.7932314536743377,0.7932314536743377
cat__diag_2_203,0.8517542630164405,0.8517542630164405
cat__diag_2_204,-0.17915009914711277,0.17915009914711277
cat__diag_2_205,0.8371456503156004,0.8371456503156004
cat__diag_2_208,-0.6211333644119325,0.6211333644119325
cat__diag_2_211,0.05987333880425106,0.05987333880425106
cat__diag_2_212,-0.16308599851961317,0.16308599851961317
cat__diag_2_214,0.4770781194307865,0.4770781194307865
cat__diag_2_215,-0.1135538959072378,0.1135538959072378
cat__diag_2_217,-0.1630669856184454,0.1630669856184454
cat__diag_2_218,-1.4900895625864499,1.4900895625864499
cat__diag_2_220,0.4502519432941102,0.4502519432941102
cat__diag_2_225,-0.48065150381542676,0.48065150381542676
cat__diag_2_226,-0.06369535628992365,0.06369535628992365
cat__diag_2_227,-0.37870463118724484,0.37870463118724484
cat__diag_2_228,-0.12659985877542906,0.12659985877542906
cat__diag_2_232,-0.09485629836674755,0.09485629836674755
cat__diag_2_233,0.4485702305884064,0.4485702305884064
cat__diag_2_235,-0.16577134760841994,0.16577134760841994
cat__diag_2_238,1.0386375238924952,1.0386375238924952
cat__diag_2_239,-0.2148643106496986,0.2148643106496986
cat__diag_2_240,-0.07786066031113177,0.07786066031113177
cat__diag_2_241,-0.7439667296299954,0.7439667296299954
cat__diag_2_242,0.45896943481379526,0.45896943481379526
cat__diag_2_244,0.5396939701809249,0.5396939701809249
cat__diag_2_245,1.2639746254948392,1.2639746254948392
cat__diag_2_246,-0.06786601450925342,0.06786601450925342
cat__diag_2_250,0.15041063900146115,0.15041063900146115
cat__diag_2_250.01,0.5296725991896036,0.5296725991896036
cat__diag_2_250.02,0.31303436524960276,0.31303436524960276
cat__diag_2_250.03,0.6391336517849966,0.6391336517849966
cat__diag_2_250.1,1.5052550245661678,1.5052550245661678
cat__diag_2_250.11,0.07060846404445764,0.07060846404445764
cat__diag_2_250.12,0.7804733064378551,0.7804733064378551
cat__diag_2_250.13,0.49714821507027995,0.49714821507027995
cat__diag_2_250.2,-0.04932971339517959,0.04932971339517959
cat__diag_2_250.21,0.6349821290596265,0.6349821290596265
cat__diag_2_250.22,-0.06496680858064909,0.06496680858064909
cat__diag_2_250.23,-0.33155634197275075,0.33155634197275075
cat__diag_2_250.3,-0.20957019055486675,0.20957019055486675
cat__diag_2_250.31,0.6598523652001995,0.6598523652001995
cat__diag_2_250.32,-0.49249528403967935,0.49249528403967935
cat__diag_2_250.33,-0.6401967516764501,0.6401967516764501
cat__diag_2_250.4,0.4099976256019031,0.4099976256019031
cat__diag_2_250.41,0.7887126803329276,0.7887126803329276
cat__diag_2_250.42,0.23428660731490902,0.23428660731490902
cat__diag_2_250.43,0.9622074595608442,0.9622074595608442
cat__diag_2_250.5,0.6112543578041699,0.6112543578041699
cat__diag_2_250.51,-0.17135675322347055,0.17135675322347055
cat__diag_2_250.52,0.6661832044374206,0.6661832044374206
cat__diag_2_250.53,0.38815543854334883,0.38815543854334883
cat__diag_2_250.6,0.5527258520568222,0.5527258520568222
cat__diag_2_250.7,0.8374291475070988,0.8374291475070988
cat__diag_2_250.8,0.3108900053973548,0.3108900053973548
cat__diag_2_250.81,0.2950127414896948,0.2950127414896948
cat__diag_2_250.82,0.15892137460919106,0.15892137460919106
cat__diag_2_250.83,0.3465743750272721,0.3465743750272721
cat__diag_2_250.9,-0.4563105369645235,0.4563105369645235
cat__diag_2_250.91,-0.47341251852517896,0.47341251852517896
cat__diag_2_250.92,0.2751798485395979,0.2751798485395979
cat__diag_2_250.93,0.661178849906246,0.661178849906246
cat__diag_2_251,-1.3546352041741618,1.3546352041741618
cat__diag_2_252,-1.3276667289541353,1.3276667289541353
cat__diag_2_253,-0.3015749385055494,0.3015749385055494
cat__diag_2_255,0.4643197417942413,0.4643197417942413
cat__diag_2_256,-0.09147302886228617,0.09147302886228617
cat__diag_2_258,0.6250616719723281,0.6250616719723281
cat__diag_2_259,-0.11314603479186772,0.11314603479186772
cat__diag_2_260,0.7489111010494746,0.7489111010494746
cat__diag_2_261,0.48740991758572766,0.48740991758572766
cat__diag_2_262,-0.5960935443771511,0.5960935443771511
cat__diag_2_263,0.3036269783001579,0.3036269783001579
cat__diag_2_266,-0.6511965531993404,0.6511965531993404
cat__diag_2_268,-0.13541759394792846,0.13541759394792846
cat__diag_2_269,-0.14260457853321631,0.14260457853321631
cat__diag_2_27,-0.32301402482923236,0.32301402482923236
cat__diag_2_271,-0.15398203669105612,0.15398203669105612
cat__diag_2_272,-0.6064598045596505,0.6064598045596505
cat__diag_2_273,-0.7841591136295122,0.7841591136295122
cat__diag_2_274,-0.6435994808965817,0.6435994808965817
cat__diag_2_275,-1.7070528139628298,1.7070528139628298
cat__diag_2_276,0.3151331311029694,0.3151331311029694
cat__diag_2_277,0.12490039488528343,0.12490039488528343
cat__diag_2_278,-0.19007837643728903,0.19007837643728903
cat__diag_2_279,-0.1533541596694081,0.1533541596694081
cat__diag_2_280,0.2849036303717228,0.2849036303717228
cat__diag_2_281,0.4903485399619669,0.4903485399619669
cat__diag_2_282,-0.2486712744996409,0.2486712744996409
cat__diag_2_283,0.43468039004863557,0.43468039004863557
cat__diag_2_284,0.012824283340166453,0.012824283340166453
cat__diag_2_285,0.028678514257274593,0.028678514257274593
cat__diag_2_286,-0.016635520613618903,0.016635520613618903
cat__diag_2_287,0.25341027432285773,0.25341027432285773
cat__diag_2_288,0.034374420438347236,0.034374420438347236
cat__diag_2_289,-1.7765058192824938,1.7765058192824938
cat__diag_2_290,0.46021991423223674,0.46021991423223674
cat__diag_2_291,0.02164416025753928,0.02164416025753928
cat__diag_2_292,0.7278483524565635,0.7278483524565635
cat__diag_2_293,0.42994379670509214,0.42994379670509214
cat__diag_2_294,0.08475526609730465,0.08475526609730465
cat__diag_2_295,0.09613309003899184,0.09613309003899184
cat__diag_2_296,0.5370538824314975,0.5370538824314975
cat__diag_2_297,0.5777374837606076,0.5777374837606076
cat__diag_2_298,-0.02816965138072302,0.02816965138072302
cat__diag_2_299,-0.4134396215751337,0.4134396215751337
cat__diag_2_300,-0.1354408038215488,0.1354408038215488
cat__diag_2_301,-0.3352128113967983,0.3352128113967983
cat__diag_2_302,-0.12440604729818326,0.12440604729818326
cat__diag_2_303,0.26167894415687165,0.26167894415687165
cat__diag_2_304,0.3587471993359315,0.3587471993359315
cat__diag_2_305,0.006178835876844822,0.006178835876844822
cat__diag_2_306,-0.5464494344633152,0.5464494344633152
cat__diag_2_307,1.4284882170734083,1.4284882170734083
cat__diag_2_308,-0.33496990533340437,0.33496990533340437
cat__diag_2_309,0.14612289295855935,0.14612289295855935
cat__diag_2_31,-0.16846670844754616,0.16846670844754616
cat__diag_2_310,-0.6434930203598361,0.6434930203598361
cat__diag_2_311,0.5025449996858239,0.5025449996858239
cat__diag_2_312,-0.22714407820725802,0.22714407820725802
cat__diag_2_314,-0.8069415881534269,0.8069415881534269
cat__diag_2_316,-0.08123276711748517,0.08123276711748517
cat__diag_2_317,-0.9532915802650855,0.9532915802650855
cat__diag_2_318,-0.24861227775044636,0.24861227775044636
cat__diag_2_319,0.8967841139281834,0.8967841139281834
cat__diag_2_320,1.2434965153824864,1.2434965153824864
cat__diag_2_322,-0.761621302308149,0.761621302308149
cat__diag_2_323,-0.4157698233832813,0.4157698233832813
cat__diag_2_324,-0.8053526215305052,0.8053526215305052
cat__diag_2_325,-0.17900203183754845,0.17900203183754845
cat__diag_2_327,-1.7058306663613267,1.7058306663613267
cat__diag_2_331,-0.27596463564265367,0.27596463564265367
cat__diag_2_332,1.1618491906477428,1.1618491906477428
cat__diag_2_333,-1.496931315772542,1.496931315772542
cat__diag_2_335,0.8890914898163719,0.8890914898163719
cat__diag_2_336,-0.5828191941505418,0.5828191941505418
cat__diag_2_337,0.6083590213186206,0.6083590213186206
cat__diag_2_338,-0.2893586865077148,0.2893586865077148
cat__diag_2_34,-0.615858291710927,0.615858291710927
cat__diag_2_340,0.13965336299632297,0.13965336299632297
cat__diag_2_341,0.8749348748221348,0.8749348748221348
cat__diag_2_342,0.7511215408873532,0.7511215408873532
cat__diag_2_343,-0.466976921320715,0.466976921320715
cat__diag_2_344,-0.377178868927791,0.377178868927791
cat__diag_2_345,0.33176884788215893,0.33176884788215893
cat__diag_2_346,-0.3524688203053436,0.3524688203053436
cat__diag_2_347,-0.09982564182432498,0.09982564182432498
cat__diag_2_348,0.4409678614247236,0.4409678614247236
cat__diag_2_349,-0.10007223273097768,0.10007223273097768
cat__diag_2_35,-0.09449172722056355,0.09449172722056355
cat__diag_2_350,-0.13184827890712483,0.13184827890712483
cat__diag_2_351,-0.33881997425319177,0.33881997425319177
cat__diag_2_352,-0.23164720782340698,0.23164720782340698
cat__diag_2_354,-0.8024187789169146,0.8024187789169146
cat__diag_2_355,-0.44335772121794703,0.44335772121794703
cat__diag_2_356,-1.0299632421245875,1.0299632421245875
cat__diag_2_357,-0.015825611482789555,0.015825611482789555
cat__diag_2_358,0.49684889486043393,0.49684889486043393
cat__diag_2_359,-0.9398342395659054,0.9398342395659054
cat__diag_2_360,-0.48720549436322946,0.48720549436322946
cat__diag_2_362,-0.22834423845392146,0.22834423845392146
cat__diag_2_364,1.510838396177692,1.510838396177692
cat__diag_2_365,-0.682448149649819,0.682448149649819
cat__diag_2_366,-0.28199801087437426,0.28199801087437426
cat__diag_2_368,0.0577346335960975,0.0577346335960975
cat__diag_2_369,-0.8281319179165896,0.8281319179165896
cat__diag_2_372,-0.4171566688005143,0.4171566688005143
cat__diag_2_373,-0.3936107954721587,0.3936107954721587
cat__diag_2_376,-0.3683084746965238,0.3683084746965238
cat__diag_2_377,-0.1226858416593933,0.1226858416593933
cat__diag_2_378,-0.9342558130253387,0.9342558130253387
cat__diag_2_379,-0.22530598302131333,0.22530598302131333
cat__diag_2_38,0.4149486236637041,0.4149486236637041
