feature,importance
cat__diag_1_162,1.953498712977e-05
cat__diag_1_282,1.887550889927025e-05
cat__diag_2_402,1.8383050460577733e-05
cat__diag_3_562,1.764450112034397e-05
cat__diag_3_250.51,1.556810465543656e-05
cat__diag_3_V15,1.4928949473724092e-05
cat__diag_1_790,1.3978400272282537e-05
cat__glimepiride_Up,1.3584678435863622e-05
cat__glimepiride_Down,1.1934425452895914e-05
cat__diag_3_295,1.1868662554828422e-05
cat__diag_1_466,1.1455243622033355e-05
cat__diag_1_824,1.1304224730211703e-05
cat__diag_3_396,1.08615854308207e-05
cat__diag_1_805,9.380371721635908e-06
cat__diag_2_998,9.26456029539865e-06
cat__diag_3_728,7.14837317898203e-06
cat__diag_2_V85,7.014838096795836e-06
cat__diag_1_812,4.364309534270217e-06
cat__diag_1_552,4.329310402479596e-06
cat__diag_1_821,3.9162758251853875e-06
cat__diag_1_558,3.4762030332170587e-06
cat__diag_3_443,9.308689619517642e-07
cat__diag_3_297,0.0
cat__diag_3_192,0.0
cat__diag_3_191,0.0
cat__diag_3_189,0.0
cat__diag_3_188,0.0
cat__diag_3_185,0.0
cat__diag_3_183,0.0
cat__diag_3_311,0.0
cat__diag_3_182,0.0
cat__diag_3_179,0.0
cat__diag_3_180,0.0
cat__diag_3_161,0.0
cat__diag_3_V44,0.0
cat__diag_3_174,0.0
cat__diag_3_312,0.0
cat__diag_3_173,0.0
cat__diag_3_172,0.0
cat__diag_3_171,0.0
cat__diag_3_170,0.0
cat__diag_3_17,0.0
cat__diag_3_163,0.0
cat__diag_3_310,0.0
cat__diag_3_193,0.0
cat__diag_3_309,0.0
cat__diag_3_196,0.0
cat__diag_3_228,0.0
cat__diag_3_227,0.0
cat__diag_3_V42,0.0
cat__diag_3_226,0.0
cat__diag_3_225,0.0
cat__diag_3_308,0.0
cat__diag_3_223,0.0
cat__diag_3_220,0.0
cat__diag_3_218,0.0
cat__diag_3_217,0.0
cat__diag_3_216,0.0
cat__diag_3_214,0.0
cat__diag_3_211,0.0
cat__diag_3_208,0.0
cat__diag_3_205,0.0
cat__diag_3_204,0.0
cat__diag_3_203,0.0
cat__diag_3_202,0.0
cat__diag_3_201,0.0
cat__diag_3_200,0.0
cat__diag_3_199,0.0
cat__diag_3_198,0.0
cat__diag_3_V43,0.0
cat__diag_3_V46,0.0
cat__diag_3_157,0.0
cat__diag_3_158,0.0
cat__diag_3_235,0.0
cat__diag_3_V65,0.0
cat__diag_3_323,0.0
cat__diag_3_V66,0.0
cat__diag_3_V70,0.0
cat__diag_3_V72,0.0
cat__diag_3_139,0.0
cat__diag_3_331,0.0
cat__diag_3_138,0.0
cat__diag_3_136,0.0
cat__diag_3_135,0.0
cat__diag_3_132,0.0
cat__diag_3_V85,0.0
cat__diag_3_131,0.0
cat__diag_3_123,0.0
cat__diag_3_122,0.0
cat__diag_3_117,0.0
cat__diag_3_V86,0.0
cat__diag_3_115,0.0
cat__diag_3_332,0.0
cat__diag_3_111,0.0
cat__diag_3_333,0.0
cat__diag_3_110,0.0
cat__diag_3_11,0.0
cat__diag_3_V64,0.0
cat__diag_3_14,0.0
cat__diag_3_141,0.0
cat__diag_3_154,0.0
cat__diag_3_313,0.0
cat__diag_3_156,0.0
cat__diag_3_155,0.0
cat__diag_3_V49,0.0
cat__diag_3_314,0.0
cat__diag_3_315,0.0
cat__diag_3_317,0.0
cat__diag_3_318,0.0
cat__diag_3_V53,0.0
cat__diag_3_V54,0.0
cat__diag_3_V55,0.0
cat__diag_3_146,0.0
cat__diag_3_V57,0.0
cat__diag_3_V60,0.0
cat__diag_3_V61,0.0
cat__diag_3_V62,0.0
cat__diag_3_319,0.0
cat__diag_3_V63,0.0
cat__diag_3_153,0.0
cat__diag_3_152,0.0
cat__diag_3_151,0.0
cat__diag_3_150,0.0
cat__diag_3_233,0.0
cat__diag_3_238,0.0
cat__diag_3_307,0.0
cat__diag_3_296,0.0
cat__diag_3_275,0.0
